date;GlobHor;GlobInc;T_Amb;WindVel;TArray;ReflFrt;GlobBak;BackShd;ShdBLss;EArrMPP;IL_Vmin;IL_Pmax;EGrdLim;EOutInv;E_Grid
1/01/90 0:00;0;0;60.002;3;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/01/90 1:00;0;0;60.002;3;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/01/90 2:00;0;0;60.002;19.999;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/01/90 3:00;0;0;69.999;19.999;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/01/90 4:00;0;0;60.002;3;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/01/90 5:00;0;0;69.999;3;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/01/90 6:00;0;0;69.999;3;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/01/90 7:00;13;12.772;69.999;3;73.032;0.0001;0.9102;0.1277;0;2353.5;0;0;0;1383;974.21
1/01/90 8:00;144;285.27;69.999;3;13.006;0.1083;50.299;0.7054;11.889;52817;0;0;0;52106;51117
1/01/90 9:00;312;583.14;11;4;23.991;19.606;22.536;31.606;42.449;120654;0;0;0;118913;116068
1/01/90 10:00;463.01;640.76;16;4;30.555;2.619;23.705;33.246;14.692;133355;0;0;0;131393;128064
1/01/90 11:00;536.99;592.57;19;5;32.634;0.8529;28.238;39.604;0.5787;124476;0;0;0;122682;119695
1/01/90 12:00;566.99;567.1;20;60.001;33.119;-0.0001;32.786;45.983;0.3858;120243;0;0;0;118528;115697
1/01/90 13:00;541.99;599.3;21;60.001;34.843;0.8553;27.748;38.916;0.4692;125137;0;0;0;123335;120323
1/01/90 14:00;454.01;632.24;23;7;37.486;25.357;21.791;30.563;11.721;128780;0;0;0;126916;123765
1/01/90 15:00;313;619.94;24;8;38.095;16.189;17.332;24.309;34.859;123120;0;0;0;121361;118424
1/01/90 16:00;141;295.31;22;60.001;28.361;0.089;39.835;0.5587;11.291;53409;0;0;0;52717;51717
1/01/90 17:00;16;15.873;22;5;22.372;0.0001;1.094;0.1534;0;2800.4;0;0;0;1844.6;1433.7
1/01/90 18:00;0;0;22;60.001;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/01/90 19:00;0;0;22;7;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/01/90 20:00;0;0;21;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/01/90 21:00;0;0;20;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/01/90 22:00;0;0;19;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/01/90 23:00;0;0;19;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 0:00;0;0;19;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 1:00;0;0;19;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 2:00;0;0;20;7;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 3:00;0;0;20;7;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 4:00;0;0;20;60.001;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 5:00;0;0;20;5;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 6:00;0;0;19;4;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 7:00;3;0;19;3;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 8:00;30;41.662;20;3;20.918;0.041;19.257;0.2701;10.838;7311.2;0;0;0;6493.9;6059.1
1/02/90 9:00;172;259.62;21;4;26.67;17.638;20.952;29.385;12.406;53241;0;0;0;52550;51553
1/02/90 10:00;290;334.47;21;4;28.376;20.125;26.356;36.964;0.4306;69802;0;0;0;68906;67567
1/02/90 11:00;215;213.37;22;5;26.777;0.3787;16.301;22.862;0.0521;44423;0;0;0;43816;42971
1/02/90 12:00;163;162.98;22;60.001;25.708;-0.0005;10.749;15.076;0.0196;33833;0;0;0;33316;32625
1/02/90 13:00;142;139.57;22;60.001;25.131;0.2405;10.594;14.858;0.0227;28684;0;0;0;28208;27581
1/02/90 14:00;197;218.09;23;60.001;27.789;13.975;18.392;25.796;0.1714;44929;0;0;0;44318;43465
1/02/90 15:00;207;281.02;24;60.001;30.105;24.026;26.384;37.004;0.8492;57650;0;0;0;56919;55838
1/02/90 16:00;57.001;70.525;21;4;22.557;0.0904;39.382;0.5523;11.743;13253;0;0;0;12617;12141
1/02/90 17:00;13;15.052;22;19.999;22.292;0.0002;0.7759;0.1088;0.5337;2094.7;0;0;0;1116.8;709.17
1/02/90 18:00;0;0;22;19.999;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 19:00;0;0;22;3;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 20:00;0;0;22;5;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 21:00;0;0;21;7;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 22:00;0;0;20;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/02/90 23:00;0;0;20;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/03/90 0:00;0;0;19;9;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/03/90 1:00;0;0;19;9;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/03/90 2:00;0;0;19;9;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/03/90 3:00;0;0;19;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/03/90 4:00;0;0;18;7;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/03/90 5:00;0;0;18;4;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/03/90 6:00;0;0;17;3;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/03/90 7:00;90.001;11.32;17;3;17.193;0.0001;0.4764;0.0668;0.673;1285.2;0;0;0;281.85;-122.32
1/03/90 8:00;145;292.01;17;4;23.196;0.1017;48.012;0.6734;12.68;52173;0;0;0;51485;50507
1/03/90 9:00;330.01;645.04;18;5;32.524;18.274;20.761;29.118;49.547;129650;0;0;0;127761;124577
1/03/90 10:00;484.01;674.71;18;7;33.382;27.481;23.995;33.653;16.136;139213;0;0;0;137149;133581
1/03/90 11:00;574.99;636.67;18;7;32.671;0.9616;31.102;43.621;0.6749;134120;0;0;0;132149;128788
1/03/90 12:00;621.99;622.2;19;60.001;33.412;-0.004;35.718;50.095;0.4571;131994;0;0;0;130063;126787
1/03/90 13:00;590.99;651.19;19;7;34.041;0.8961;30.152;42.289;0.523;136466;0;0;0;134455;131000
1/03/90 14:00;503.01;695.8;19;8;34.915;27.276;24.038;33.713;12.376;143008;0;0;0;140878;137151
1/03/90 15:00;341.01;667.59;20;8;35.137;17.455;18.445;25.869;36.953;133875;0;0;0;131913;128562
1/03/90 16:00;158;316.91;16;8;22.816;0.1236;52.024;0.7296;11.007;59138;0;0;0;58381;57270
1/03/90 17:00;13;15.084;16;7;16.292;0.0002;0.7776;0.1091;0.5326;2152.8;0;0;0;1176.5;768.55
1/03/90 18:00;0;0;16;60.001;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/03/90 19:00;0;0;16;60.001;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/03/90 20:00;0;0;14;60.001;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/03/90 21:00;0;0;11;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/03/90 22:00;0;0;11;9;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/03/90 23:00;0;0;89.999;9;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/04/90 0:00;0;0;80.003;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/04/90 1:00;0;0;80.003;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/04/90 2:00;0;0;69.999;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/04/90 3:00;0;0;60.002;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/04/90 4:00;0;0;29.997;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/04/90 5:00;0;0;29.997;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/04/90 6:00;0;0;29.997;8;0;0;0;0;0;0;0;0;0;-20.93;-423.96
1/04/90 7:00;10;11.875;29.997;8;3.222;0.0001;0.5941;0.0833;0.6737;1630.7;0;0;0;637.85;232.21
1/04/90 8:00;150;307.86;29.997;7;94.448;0.098;46.595;0.6535;13.977;57092;0;0;0;56330;55261
1/04/90 9:00;343.01;685.03;60.002;8;21.313;17.369;19.55;27.419;54.859;142293;0;0;0;140146;136451
1/04/90 10:00;495.01;693.08;60.002;7;21.654;28.089;23.972;33.621;16.705;148212;0;0;0;145957;142007
1/04/90 11:00;598.99;664.07;69.999;7;22.17;10.128;32.168;45.116;0.714;144486;0;0;0;142301;138513
1/04/90 12:00;635.99;636.28;69.999;7;21.59;-0.0056;35.094;4.922;0.4676;139751;0;0;0;137653;134064
1/04/90 13:00;604.99;665.69;80.003;60.001;23.238;0.8989;30.796;43.191;0.5338;144261;0;0;0;142083;138304
1/04/90 14:00;507.01;701.31;89.999;60.001;24.915;26.195;22.406;31.425;12.544;148438;0;0;0;146187;142227
